ID	Temp	Flux	Type
Champagne Hot Springs	71	0.198	E
Prony Bay, New Caledonia	40	1376309.608	E
Methana Island	15	0.198	E
Milos Island	123	0.198	E
Santorini Island	15	0.198	E
Yali Bay	15	83528.08716	E
Kick'em Jenny submarine volcano	250	53434.15346	E
Isafjardardjup bay	95	0.198	E
Eyjafjördur	77	199445.2261	E
Kolbeinsey Field	131	573047.3096	E
Sangeang Island	96	0.198	E
Banda Api	15	0.198	E
Banua Wuhu submarine volcano	15	0.198	E
Lembeh Strait	90	282218.0891	E
Manuk Island	15	167324.4041	E
Pulau Weh	15	0.198	E
Capo Palinuro	25	1104893.602	E
Ischia Island, Gulf of Naples	15	511882.7977	E
Vulcano Island	15	628235.9341	E
Panarea Island	130	68842.66466	E
Palinuro Seamount	54	430189.7458	E
Zannone Giant Pockmark	15	1676903.158	E
Secca delle Fumose	82	981239.9847	E
Nagahama Bay, Iwo-dake Volcano	15	62443.92612	E
Kodakara-jima	80	0.198	E
Taketomi Thermal Area	52	86961.03953	E
Kagoshima Bay	200	134688.3678	E
Akuseki-jima	15	365518.8343	E
Omuro Hole	194	375778.3077	E
Bahia Concepcion	92	526948.0202	E
Punta Banda	102	744978.478	E
Punta Mita, Bahia de Banderas	85	1722222.521	E
Whale Island	86	0.198	E
White Island	15	0.198	E
Calypso Vents	200	13515.48865	E
Giggenbach volcano	203	0.198	E
Luise Harbor, Lihir Island	96	465938.679	E
Tutum Bay, Ambitle Island	98	0.198	E
Espalamaca, Azores	35	831741.6115	E
Don Joao de Castro Bank, Azores	121	0.198	E
Kraternaya Bight, Ushishir Volcano	15	347248.0466	E
Kueishan Island	116	0.198	E
Tonga Arc, Volcano 1	152	677981.4831	E
Montserrat Offshore Springs, Montserrat	15	0.198	E
White Point, Palos Verde, California	28	58218.86606	E
Kagamil Island	37	588041.7019	E
Maug Caldera, Northern Mariana Islands and Guam	63	0.198	E
Esmeralda Bank, Northern Mariana Islands and Guam	78	406672.8069	E
East Diamante volcano, Northern Mariana Islands and Guam	242	785151.7005	E
Ruby, Northern Mariana Islands and Guam	15	0.198	E
El Hierro Volcano	20.45	219000	R
Ischia	15	1228.383	R
Milos Shallow vents, Greece	123	2244000	R
Champagne Hot Springs	71	0.198	R
Panarea hydrothermal field	130	6600	R
Kraternaya Bight	15	1.128	R
Tutum Bay, Ambitle Island, Papua New Guinea	98	8000	R
Espalamanca, Faial, Azores, Portugal	35	5240.058	R
Secca delle Fumose, Campi Flegrei Caldera	82	18905.832	R
Bottaro, Aoelie islands	135	20148	R